Salary,Age,Weight,Name
5000000.0,37.0,245.0,Chris Andersen
3542500.0,36.0,226.0,Matt Barnes
4088019.0,39.0,220.0,Vince Carter
9588426.0,28.0,175.0,Mike Conley
700902.0,23.0,165.0,Bryce Cotton
,29.0,180.0,Jordan Farmar
19688000.0,31.0,255.0,Marc Gasol
845059.0,25.0,227.0,JaMychal Green
1201440.0,23.0,230.0,P.J. Hairston
1230840.0,22.0,239.0,Jarell Martin
,24.0,190.0,Ray McCallum
,24.0,180.0,Xavier Munford
9638555.0,34.0,260.0,Zach Randolph
9000000.0,25.0,230.0,Lance Stephenson
,28.0,270.0,Alex Stepheson
5464000.0,28.0,210.0,Brandan Wright
4389607.0,28.0,248.0,Alexis Ajinca
8500000.0,28.0,240.0,Ryan Anderson
9213483.0,29.0,255.0,Omer Asik
1100602.0,26.0,225.0,Luke Babbitt
3036927.0,27.0,175.0,Norris Cole
2850000.0,29.0,230.0,Dante Cunningham
7070730.0,23.0,253.0,Anthony Davis
169883.0,23.0,203.0,Bryce Dejean-Jones
1164858.0,30.0,195.0,Toney Douglas
845059.0,25.0,210.0,James Ennis
10734586.0,26.0,220.0,Tyreke Evans
845059.0,25.0,170.0,Tim Frazier
1320000.0,29.0,225.0,Alonzo Gee
15514031.0,27.0,215.0,Eric Gordon
1015421.0,25.0,220.0,Jordan Hamilton
10595507.0,25.0,205.0,Jrue Holiday
55722.0,27.0,220.0,Orlando Johnson
947276.0,31.0,270.0,Kendrick Perkins
3382023.0,28.0,220.0,Quincy Pondexter
19689000.0,30.0,240.0,LaMarcus Aldridge
1142880.0,22.0,230.0,Kyle Anderson
947276.0,36.0,235.0,Matt Bonner
7500000.0,34.0,250.0,Boris Diaw
5250000.0,40.0,250.0,Tim Duncan
2814000.0,38.0,205.0,Manu Ginobili
10000000.0,28.0,215.0,Danny Green
16407500.0,24.0,230.0,Kawhi Leonard
1200000.0,27.0,290.0,Boban Marjanovic
200600.0,33.0,199.0,Kevin Martin
250750.0,40.0,200.0,Andre Miller
3578947.0,27.0,185.0,Patty Mills
13437500.0,34.0,185.0,Tony Parker
525093.0,26.0,195.0,Jonathon Simmons
1499187.0,35.0,250.0,David West
2000000.0,26.0,201.0,Kent Bazemore
1304520.0,24.0,205.0,Tim Hardaway Jr.
2854940.0,35.0,190.0,Kirk Hinrich
12000000.0,30.0,245.0,Al Horford
1000000.0,31.0,235.0,Kris Humphries
5746479.0,35.0,212.0,Kyle Korver
18671659.0,31.0,246.0,Paul Millsap
947276.0,24.0,240.0,Mike Muscala
525093.0,24.0,225.0,Lamar Patterson
1763400.0,22.0,172.0,Dennis Schroder
3333333.0,27.0,237.0,Mike Scott
4000000.0,32.0,220.0,Thabo Sefolosha
9756250.0,31.0,245.0,Tiago Splitter
1000000.0,24.0,260.0,Walter Tavares
8000000.0,27.0,186.0,Jeff Teague
13125306.0,27.0,200.0,Nicolas Batum
947276.0,24.0,205.0,Troy Daniels
189455.0,27.0,189.0,Jorge Gutierrez
947276.0,30.0,250.0,Tyler Hansbrough
525093.0,21.0,210.0,Aaron Harrison
6110034.0,28.0,245.0,Spencer Hawes
13500000.0,31.0,289.0,Al Jefferson
2612520.0,23.0,240.0,Frank Kaminsky III
6331404.0,22.0,232.0,Michael Kidd-Gilchrist
3034356.0,24.0,185.0,Jeremy Lamb
5675000.0,30.0,200.0,Courtney Lee
2139000.0,27.0,200.0,Jeremy Lin
12000000.0,26.0,184.0,Kemba Walker
7000000.0,29.0,237.0,Marvin Williams
4204200.0,23.0,240.0,Cody Zeller
22192730.0,32.0,235.0,Chris Bosh
10151612.0,31.0,220.0,Luol Deng
14783000.0,30.0,190.0,Goran Dragic
947276.0,30.0,205.0,Gerald Green
2854940.0,36.0,235.0,Udonis Haslem
261894.0,34.0,240.0,Joe Johnson
845059.0,24.0,186.0,Tyler Johnson
5543725.0,29.0,240.0,Josh McRoberts
525093.0,22.0,200.0,Josh Richardson
947276.0,33.0,245.0,Amar'e Stoudemire
20000000.0,34.0,220.0,Dwyane Wade
,23.0,165.0,Briante Weber
981348.0,26.0,265.0,Hassan Whiteside
2481720.0,20.0,225.0,Justise Winslow
,30.0,205.0,Dorell Wright
947276.0,26.0,245.0,Dewayne Dedmon
2288205.0,23.0,205.0,Evan Fournier
4171680.0,20.0,220.0,Aaron Gordon
3741480.0,21.0,218.0,Mario Hezonja
7900000.0,29.0,235.0,Ersan Ilyasova
8344497.0,26.0,169.0,Brandon Jennings
845059.0,23.0,200.0,Devyn Marble
1294440.0,24.0,175.0,Shabazz Napier
2380593.0,26.0,250.0,Andrew Nicholson
5192520.0,24.0,210.0,Victor Oladipo
2505720.0,22.0,185.0,Elfrid Payton
4300000.0,30.0,240.0,Jason Smith
11250000.0,25.0,260.0,Nikola Vucevic
5000000.0,32.0,175.0,C.J. Watson
4000000.0,33.0,220.0,Alan Anderson
5694674.0,22.0,207.0,Bradley Beal
4375000.0,30.0,225.0,Jared Dudley
561716.0,24.0,218.0,Jarell Eddie
3300000.0,34.0,250.0,Drew Gooden
11217391.0,32.0,240.0,Marcin Gortat
273038.0,27.0,242.0,JJ Hickson
13000000.0,33.0,250.0,Nene Hilario
8000000.0,26.0,245.0,Markieff Morris
1920240.0,20.0,205.0,Kelly Oubre Jr.
4662960.0,23.0,198.0,Otto Porter Jr.
2170465.0,30.0,190.0,Ramon Sessions
1100602.0,30.0,195.0,Garrett Temple
200600.0,29.0,205.0,Marcus Thornton
15851950.0,25.0,195.0,John Wall
2814000.0,28.0,235.0,Darrell Arthur
3000000.0,28.0,183.0,D.J. Augustin
3533333.0,25.0,175.0,Will Barton
10449438.0,29.0,225.0,Wilson Chandler
11235955.0,26.0,228.0,Kenneth Faried
14000000.0,27.0,225.0,Danilo Gallinari
1584480.0,21.0,210.0,Gary Harris
1300000.0,21.0,250.0,Nikola Jokic
1709719.0,24.0,220.0,Joffrey Lauvergne
947276.0,36.0,218.0,Mike Miller
3102240.0,20.0,200.0,Emmanuel Mudiay
4345000.0,34.0,190.0,Jameer Nelson
1842000.0,21.0,280.0,Jusuf Nurkic
258489.0,23.0,214.0,JaKarr Sampson
,23.0,210.0,Axel Toupane
3950001.0,28.0,240.0,Nemanja Bjelica
1474440.0,26.0,241.0,Gorgui Dieng
8500000.0,40.0,240.0,Kevin Garnett
1282080.0,20.0,195.0,Tyus Jones
2148360.0,21.0,189.0,Zach LaVine
2056920.0,23.0,223.0,Shabazz Muhammad
1938840.0,25.0,237.0,Adreian Payne
12100000.0,30.0,307.0,Nikola Pekovic
947276.0,36.0,212.0,Tayshaun Prince
12700000.0,25.0,194.0,Ricky Rubio
1149500.0,29.0,230.0,Damjan Rudez
,25.0,250.0,Greg Smith
5703600.0,20.0,244.0,Karl-Anthony Towns
5758680.0,21.0,199.0,Andrew Wiggins
2279040.0,22.0,255.0,Steven Adams
3750000.0,35.0,255.0,Nick Collison
20158622.0,27.0,240.0,Kevin Durant
3135000.0,32.0,213.0,Randy Foye
1140240.0,24.0,230.0,Josh Huestis
12250000.0,26.0,245.0,Serge Ibaka
16407500.0,24.0,245.0,Enes Kanter
1463040.0,24.0,255.0,Mitch McGary
222888.0,38.0,250.0,Nazr Mohammed
3344000.0,30.0,210.0,Anthony Morrow
2021520.0,21.0,185.0,Cameron Payne
